Role,Description,Alignment,Difficulty
Alchemist,You have a specified minion ability from the active script that is not in play.,Town,\*\*
Artist,"Privately, during the day, you may return home to ask the storyteller any one yes or no question",Town,
Balloonist,"Nightly, learn the name of a living player of a different type from (demon, minion, outsider, or town) than last night. There might be +1 outsider",Town,\*
Bodyguard,"Once per game, choose a player. For the rest of the game, if they would die, you die instead.",Town,
Dreamer,"Nightly, choose a player. You learn 1 good and 1 evil role they might be, one of which is correct",Town,
Fool,"First time you die, don’t",Town,
Fortune Teller,"Nightly, check 2 people and learn if the demon is among them. 1 person in the game will register as a red herring",Town,
Gambler,"Nightly, you may choose to guess someone’s role. If you are wrong, you die",Town,
Illusionist,"Demons and minions do not start knowing each other. When you die, demons and minions learn who each other are that night",Town,\*
Magician,"The minion is told that either you or the demon is their demon, and the demon is told that either you or the minion is their minion",Town,\*
Philosopher,"Once per game, at night, you may select a town role from the script to gain the ability of. If that role is in play, its player becomes drunk until the philosopher dies or stops being the philosopher",Town,\*
Seamstress,"Once per game, you may check if 2 people are on same team at night",Town,
Undertaker,"Nightly, learn which role died by execution",Town,
Drunk,"You think you are a specific town role that is not in play, but your ability doesn’t work",Outsider,
Gangster,"If you and a neighbor agree to kill your other neighbor, and tell the storyteller in town square during discussion time, that agreed-upon other neighbor will die during the night. If the Gangster gets both to agree to kill the other, they choose which will actually die at night",Outsider,\*
Golem,"You may only nominate once. When you do so, if the player you nominated isnt the demon, they instantly die",Outsider,\*
Moleman,"Each night, choose three living players (before anyone dies that night). If one is executed the following day, one of the other two, if alive, will be instead",Outsider,\*
Recluse,"May register as some manner of evil to other role abilities, even after dying",Outsider,
Baron,+2 Outsiders,Minion,
Goblin,"If you publicly announce that they are the goblin for the first time once nominated, and are executed that day, evil wins",Minion,\*
Mastermind,"If the demon is executed, continue for another day. If a good player is executed after the demon, evil win",Minion,\*\*
Scarlet Woman,"If the demon dies when there are 5 or more people alive, you become the demon",Minion,
Vampire Spawn,"Vampire Spawn can only be created mid-game by a vampire. Once per game, you may select a player and poison them for 2 days. The target is informed that they were poisoned.",Minion,\*
Agonyxolotl," +1 minion. The Agonyxolotl is not a player, but must instead be babysat (held in the inventory) by a living minion. Each night, all minions wake and decide who will babysit Agonyxolotl, acting as demon for the day. If the present babysitter dies, evil loses. Nightly, someone will die. Whether the babysitter is drunk or poisoned does not affect the Agonyxolotl",Demon,\*
Legion,"There are 5 players of Legion, who all know each other, but none recieve bluffs. Executions fail if only evil players voted. Members of legion may appear as demons or minions to role abilities. Each night, someone will die. There are no minions or outsiders.",Demon,\*\*
Showman,"Nightly, choose a living player to die. There can be multiple of the same role. You do not get a bluff list. +/- 1 Outsider.",Demon,\*\*
Vampire,"Start with no minions. Nightly, choose a living player to die. The first two players selected are turned evil and converted into vampire spawn instead of dying, and are told who you are.",Demon,\*
