Role,Description,Alignment,Difficulty
Artist,"Privately, during the day, you may return home to ask the storyteller any one yes or no question",Town,
Atheist,"The storyteller can break the rules. If the storyteller is executed, good wins (If there isn’t an atheist, then evil wins if this happens). There are no evil players; everybody knows that demons aren’t real, idiot.",Town,\*\*\*
Balloonist,"Nightly, learn the name of a living player of a different type from (demon, minion, outsider, or town) than last night. There might be +1 outsider",Town,\*
Bounty Hunter,"Start knowing 1 evil player. If they die, learn a different evil player that night. +1 Minion, -1 Town",Town,\*\*
Cannibal,"Gain the ability of the last executed person. If they were evil, you are poisoned until a good player is executed",Town,
Dreamer,"Nightly, choose a player. You learn 1 good and 1 evil role they might be, one of which is correct",Town,
Empath,Nightly learn how many of your 2 closest neighbors are evil,Town,
Ferryman,"If you are alive in the final 3, all ghost votes are refreshed",Town,\*
Fisherman,"Once per game, you may go home during discussion to ask the storyteller for a founded piece of advice to help good win",Town,\*\*
Flower Girl,"Nightly, learn if the demon voted that day",Town,
Fool,"First time you die, don’t",Town,
Fortune Teller,"Nightly, check 2 people and learn if the demon is among them. 1 person in the game will register as a red herring",Town,
Gambler,"Nightly, you may choose to guess someone’s role. If you are wrong, you die",Town,
Gossip,"Each day, you may publicly declare a rumor. If the rumor is true, someone will die during the night",Town,\*
Grandmother,Start knowing 1 person is a specific good role; if they die from the demon you die too,Town,
Illusionist,Demons and minions do not know each other until you die,Town,\*
Investigator,Start knowing 1 of 2 people is a specific minion,Town,
Librarian,Start knowing 1 of 2 people is a specific outsider,Town,
Lycanthrope,"At night, choose 1 living player. If they are innocent, they die, but the demon can't kill anyone else that night",Town,\*
Magician,"The minion is told that either you or the demon is their demon, and the demon is told that either you or the minion is their minion",Town,\*
Mayor,"If nobody is executed in the final 3, town wins. When you are attacked, another town may die instead",Town,
Monk,"Nightly, choose someone to protect from the demon",Town,
Nightwatchmen,"Once per game, at night, one chosen player learns that you are the nightwatchmen",Town,
Noble,"Start with a list of 2 good players and 1 evil, you don't know which is which",Town,
Oracle,"Nightly, learn how many dead people are evil",Town,
Phantom,Your ghost vote can be used up to 3 times instead of once,Town,
Philosopher,"Once per game, at night, you may select a town role from the script to gain the ability of. If that role is in play, its player becomes drunk until the philosopher dies or stops being the philosopher",Town,\*
Pixie,"Start knowing 1 in-play town role. If you act mad as that role, and the player with that role dies, you gain that role ability",Town,\*
Prophet,"If a team has not yet won 3 days after your death, you return to life and cannot be killed again by the same method",Town,
Ravenkeeper,"If you die during the night, choose a player to learn the role of",Town,
Sailor,"You can't die. Nightly, choose a living player, who is told they were visited by the Sailor. You or they are drunk until the start of the next night",Town,\*
Seamstress,"Once per game, you may check if 2 people are on same team at night",Town,
Slayer,"Once per game, during the town meeting, attempt to kill another player; they die if they’re the demon",Town,
Soldier,Cannot be killed by the demon at night,Town,
Tea Lady,"If both of your living neighbors are good, neither can die",Town,
Town Crier,"Nightly, learn if the minion nominated someone that day",Town,
Undertaker,"Nightly, learn which role died by execution",Town,
Virgin,"If the first person to nominate you is good, they are instantly executed",Town,
Washerwoman,Start knowing 1 of 2 people is a specific town,Town,
Butler,"Each night, choose a player to be your master. You cannot vote in favor of an execution unless your master does",Outsider,
Drunk,"You think you are a specific town role that is not in play, but your ability doesn’t work",Outsider,
Gangster,"If you and a neighbor agree to kill your other neighbor, and tell the storyteller in town square during discussion time, that agreed-upon other neighbor will die during the night. If the Gangster gets both to agree to kill the other, they choose which will actually die at night",Outsider,\*
Golem,"You may only nominate once. When you do so, if the player you nominated isnt the demon, they instantly die",Outsider,\*
Heretic,"Whichever side wins, loses, and vice-versa. This effect persists even once you die",Outsider,\*\*
Lunatic,You think you are a specific demon; the actual demon knows who you choose to try to kill,Outsider,
Moleman,"Each night, choose three living players (before anyone dies that night). If one is executed the following day, one of the other two, if alive, will be instead",Outsider,\*
Ogre,"On the first night, pick a player. You are their alignment for the rest of the game, but are not told what that alignment is",Outsider,\*
Politician,"If you are the most influential in good losing, become and win with evil",Outsider,\*\*
Recluse,"May register as some manner of evil to other role abilities, even after dying",Outsider,
Saint,"If you’re executed by the town, evil wins",Outsider,
Sweetheart,"When you die, a player becomes a drunk for the rest of the game",Outsider,
Voudon,"Once there are two or more dead players, the following effects occur: Ghost votes become unlimited, only the voudon and dead players may vote, and the 'marked for execution' threshold becomes 1. Once killed, all three effects are undone and you do not recieve a ghost vote",Outsider,\*\*
Assassin,"Once per game, at night, choose a player to die. This bypasses defensive abilities",Minion,
Baron,+2 Outsiders,Minion,
Boffin,"While alive, your demon has a specific good role ability; you both know which",Minion,
Cerenovus,"Nightly, choose a player to be mad that they are a specific role until the next night, or they might die",Minion,\*
Evil Twin,"Start knowing a specific town and their role. They know that you are their Evil Twin. If the town twin is executed, evil wins. Good cannot win while both are alive",Minion,\*
Goblin,"If you publicly announce that they are the goblin for the first time once nominated, and are executed that day, evil wins",Minion,\*
Marionette,"You think you are a specific town or outsider role that is not in play, but your ability doesn’t work and you’re actually a minion. You will always neighbor the demon",Minion,
Mastermind,"If the demon is executed, continue for another day. If a good player is executed after the demon, evil win",Minion,\*\*
Mezepheles,"Start knowing a secret word. The first good player who says the secret word to the storyteller at any time, public or private, turns evil that night. The Mezepheles does not learn if someone has been converted, but the converted player does",Minion,\*
Poisoner,"Nightly, poison 1 player until the next night begins",Minion,
Scarlet Woman,"If the demon dies when there are 5 or more people alive, you become the demon",Minion,
Summoner,"You gain 3 bluffs. On night 2, turn a player of your choice into a demon of your choice from the active script who acts immediately. There is no demon at the start of the game.",Minion,\*
Spy,"Nightly, learn either one specified player's role or two random player's roles. You may appear as good to role abilities.",Minion,
Witch,"Nightly, choose a player. If they nominate someone, they die. This ability is disabled the moment 3 or less people remain alive",Minion,
Agonyxolotl," +1 minion. The Agonyxolotl is not a player, but must instead be babysat (held in the inventory) by a living minion. Each night, all minions wake and decide who will babysit Agonyxolotl, acting as demon for the day. If the present babysitter dies, evil loses. Nightly, someone will die. Whether the babysitter is drunk or poisoned does not affect the Agonyxolotl",Demon,\*
Fang Gu,"Nightly, choose a living player to die. The first time per game an outsider is killed like this, the original Fang Gu dies and the targeted outsider becomes the new Fang Gu. +1 Outsider instead of town",Demon,
Freddy,"All players are told that Freddy is free. After 5 nights, evil wins. If more than 1 good player is executed, evil wins. Freddy does not kill any players during the night",Demon,\*\*
Heath'lami,"Each night, select a location somewhere in town to plant a mine. Mines persist for the rest of the game, and are only visible to evil players. When a player steps on a mine, they immediately die",Demon,\*
Imp,"Nightly, choose a living player to die. If you kill yourself like this, your minion becomes an Imp",Demon,
